,UserId,VenueId,TimeZone,Latitude,Longitude,Category,City,CountryCode,Time,Date,Local_Time,L1_Category,RegionId,R_Latitude,R_Longitude,#checked_region,active_regionId_1,active_regionId_2,time_sort,Local_Time_True
21416,81464,4b155041f964a52038b023e3,-420,33.527515,-112.262635,College Football Field,Phoenix,US,19:14:54,2012403,2012/4/3 19:14,College & University,0,33.5040619112426,-112.25862841420118,6,3,-1,2012-04-03 19:14:00,2012-04-03 12:14:00
1480,233,4f342a26e4b0935810c13353,-420,33.39432,-111.959693,Casino,Phoenix,US,19:15:18,2012403,2012/4/3 19:15,Arts & Entertainment,6,33.41852281040892,-111.98156154646841,7,6,-1,2012-04-03 19:15:00,2012-04-03 12:15:00
18661,60781,4aba4c07f964a520c78020e3,-420,33.410859,-112.015503,General College & University,Phoenix,US,19:18:09,2012403,2012/4/3 19:18,College & University,6,33.41852281040892,-111.98156154646841,3,6,-1,2012-04-03 19:18:00,2012-04-03 12:18:00
18015,55751,4ae0a43af964a520318121e3,-420,33.579529,-112.098983,Convenience Store,Phoenix,US,19:26:09,2012403,2012/4/3 19:26,Shop & Service,2,33.5951913539823,-112.15487550884956,7,8,2,2012-04-03 19:26:00,2012-04-03 12:26:00
26848,130716,4a4ea188f964a520d6ae1fe3,-420,33.491267,-112.079237,Mexican Restaurant,Phoenix,US,19:37:11,2012403,2012/4/3 19:37,Food,4,33.52096371989529,-112.0698587486911,6,2,4,2012-04-03 19:37:00,2012-04-03 12:37:00
32381,206461,4b11d511f964a520a58523e3,-420,33.597462,-112.150016,Grocery Store,Phoenix,US,19:44:13,2012403,2012/4/3 19:44,Shop & Service,2,33.5951913539823,-112.15487550884956,5,2,-1,2012-04-03 19:44:00,2012-04-03 12:44:00
31698,190616,4a7a401ff964a520fce81fe3,-420,33.539612,-112.023147,Hiking Trail,Phoenix,US,19:46:07,2012403,2012/4/3 19:46,Outdoors & Recreation,4,33.52096371989529,-112.0698587486911,5,4,3,2012-04-03 19:46:00,2012-04-03 12:46:00
18016,55751,4bdab3573904a593710d479e,-420,33.434306,-112.207918,Tech Startup,Phoenix,US,19:52:54,2012403,2012/4/3 19:52,Professional & Other Places,7,33.447427633663374,-112.1794503861386,7,8,2,2012-04-03 19:52:00,2012-04-03 12:52:00
29965,167774,4c2f7bf5a0ced13ada9a106e,-420,33.425918,-111.961829,Office,Phoenix,US,19:55:05,2012403,2012/4/3 19:55,Professional & Other Places,6,33.41852281040892,-111.98156154646841,3,6,-1,2012-04-03 19:55:00,2012-04-03 12:55:00
8787,18879,4a47ecabf964a5204faa1fe3,-420,33.52349,-112.022567,Resort,Phoenix,US,20:06:53,2012403,2012/4/3 20:06,Travel & Transport,1,33.4931607434555,-112.00071044502614,2,1,-1,2012-04-03 20:06:00,2012-04-03 13:06:00
8788,18879,4d86fa3c61676dcb90e8aae4,-420,33.524370000000005,-112.024358,Convention Center,Phoenix,US,20:13:05,2012403,2012/4/3 20:13,Professional & Other Places,1,33.4931607434555,-112.00071044502614,2,1,-1,2012-04-03 20:13:00,2012-04-03 13:13:00
16502,49555,4bd7637835aad13a47c88ef3,-420,33.506065,-111.948118,Burger Joint,Phoenix,US,20:22:56,2012403,2012/4/3 20:22,Food,1,33.4931607434555,-112.00071044502614,6,4,-1,2012-04-03 20:22:00,2012-04-03 13:22:00
16106,48761,4c4b46759e6dbe9a5ac7d10b,-420,33.49515,-112.057478,Gas Station / Garage,Phoenix,US,20:23:08,2012403,2012/4/3 20:23,Shop & Service,4,33.52096371989529,-112.0698587486911,6,4,-1,2012-04-03 20:23:00,2012-04-03 13:23:00
8851,18884,4a901a25f964a520021620e3,-420,33.61045,-112.147466,Coffee Shop,Phoenix,US,20:26:50,2012403,2012/4/3 20:26,Drink,2,33.5951913539823,-112.15487550884956,8,4,-1,2012-04-03 20:26:00,2012-04-03 13:26:00
6810,13301,4a70a2b3f964a52005d81fe3,-420,33.470911,-112.064866,Burrito Place,Phoenix,US,20:35:42,2012403,2012/4/3 20:35,Food,3,33.459221058139526,-112.07305906104652,5,3,4,2012-04-03 20:35:00,2012-04-03 13:35:00
16107,48761,4a84fdf5f964a520fcfd1fe3,-420,33.520897,-112.098139,Department Store,Phoenix,US,20:36:03,2012403,2012/4/3 20:36,Shop & Service,4,33.52096371989529,-112.0698587486911,6,4,-1,2012-04-03 20:36:00,2012-04-03 13:36:00
20459,72665,4ab918c4f964a520fb7d20e3,-420,33.445671000000004,-112.066866,Sports Bar,Phoenix,US,20:49:37,2012403,2012/4/3 20:49,Nightlife Spot,3,33.459221058139526,-112.07305906104652,4,6,-1,2012-04-03 20:49:00,2012-04-03 13:49:00
1481,233,4c5750ee2308be9ac3ef586c,-420,33.393908,-111.959419,Office,Phoenix,US,20:49:32,2012403,2012/4/3 20:49,Professional & Other Places,6,33.41852281040892,-111.98156154646841,7,6,-1,2012-04-03 20:49:00,2012-04-03 13:49:00
6811,13301,4baa8c7bf964a520a6733ae3,-420,33.495153,-112.061797,Fast Food Restaurant,Phoenix,US,20:50:16,2012403,2012/4/3 20:50,Food,4,33.52096371989529,-112.0698587486911,5,3,4,2012-04-03 20:50:00,2012-04-03 13:50:00
27150,135315,4a57f364f964a52021b71fe3,-420,33.4975,-112.083864,Coffee Shop,Phoenix,US,20:50:23,2012403,2012/4/3 20:50,Drink,4,33.52096371989529,-112.0698587486911,7,3,-1,2012-04-03 20:50:00,2012-04-03 13:50:00
6342,12164,4bd4aeda7b1876b091958986,-420,33.602695000000004,-111.983532,Food Court,Phoenix,US,20:52:19,2012403,2012/4/3 20:52,Food,5,33.60813345192308,-111.99399652884615,3,8,5,2012-04-03 20:52:00,2012-04-03 13:52:00
6812,13301,4dfcfa8cd22d879302f740c8,-420,33.492282,-112.062375,Miscellaneous Shop,Phoenix,US,20:58:06,2012403,2012/4/3 20:58,Shop & Service,4,33.52096371989529,-112.0698587486911,5,3,4,2012-04-03 20:58:00,2012-04-03 13:58:00
16291,48765,414b7a80f964a520d01c1fe3,-420,33.500469,-112.074053,Coffee Shop,Phoenix,US,21:02:20,2012403,2012/4/3 21:02,Drink,4,33.52096371989529,-112.0698587486911,5,4,-1,2012-04-03 21:02:00,2012-04-03 14:02:00
22682,90938,4e570336fa7624d9bbab93a9,-420,33.5814,-112.118829,Fried Chicken Joint,Phoenix,US,21:12:14,2012403,2012/4/3 21:12,Food,2,33.5951913539823,-112.15487550884956,7,4,-1,2012-04-03 21:12:00,2012-04-03 14:12:00
23965,98646,4bad5e11f964a520c04a3be3,-420,33.533429,-112.261253,Japanese Restaurant,Phoenix,US,21:12:27,2012403,2012/4/3 21:12,Food,0,33.5040619112426,-112.25862841420118,8,1,-1,2012-04-03 21:12:00,2012-04-03 14:12:00
21226,77725,4ed561329adf3fc7afcb62b3,-420,33.640802,-112.120655,Dance Studio,Phoenix,US,21:12:19,2012403,2012/4/3 21:12,Arts & Entertainment,8,33.64824537209302,-112.09229006976744,3,8,-1,2012-04-03 21:12:00,2012-04-03 14:12:00
8178,18320,4e6bc4edae609509560e72a2,-420,33.538074,-112.063149,Burger Joint,Phoenix,US,21:22:30,2012403,2012/4/3 21:22,Food,4,33.52096371989529,-112.0698587486911,5,4,8,2012-04-03 21:22:00,2012-04-03 14:22:00
27213,135337,4f0e724b0cd626d9c74df3d8,-420,33.420804,-111.968579,Sporting Goods Shop,Phoenix,US,21:37:31,2012403,2012/4/3 21:37,Shop & Service,6,33.41852281040892,-111.98156154646841,7,4,-1,2012-04-03 21:37:00,2012-04-03 14:37:00
27537,136875,4a837a65f964a5203ffb1fe3,-420,33.390549,-112.136915,Miscellaneous Shop,Phoenix,US,21:39:17,2012403,2012/4/3 21:39,Shop & Service,7,33.447427633663374,-112.1794503861386,4,3,-1,2012-04-03 21:39:00,2012-04-03 14:39:00
465,168,4aec5f71f964a52071c621e3,-420,33.520454,-112.099745,Train Station,Phoenix,US,21:51:04,2012403,2012/4/3 21:51,Travel & Transport,4,33.52096371989529,-112.0698587486911,6,4,-1,2012-04-03 21:51:00,2012-04-03 14:51:00
11545,26253,4c85b06347cc224bce9ba39f,-420,33.448251,-112.07376200000002,City,Phoenix,US,21:53:45,2012403,2012/4/3 21:53,Outdoors & Recreation,3,33.459221058139526,-112.07305906104652,6,3,-1,2012-04-03 21:53:00,2012-04-03 14:53:00
11546,26253,472eda7ef964a520094c1fe3,-420,33.445515,-112.066748,Baseball Stadium,Phoenix,US,21:54:54,2012403,2012/4/3 21:54,Arts & Entertainment,3,33.459221058139526,-112.07305906104652,6,3,-1,2012-04-03 21:54:00,2012-04-03 14:54:00
466,168,4a7620dbf964a52054e21fe3,-420,33.522793,-112.09548,Mall,Phoenix,US,21:54:40,2012403,2012/4/3 21:54,Shop & Service,4,33.52096371989529,-112.0698587486911,6,4,-1,2012-04-03 21:54:00,2012-04-03 14:54:00
29228,157740,4edd5b7c0aaf49e02d1c3a19,-420,33.448111,-112.074234,Mexican Restaurant,Phoenix,US,21:55:50,2012403,2012/4/3 21:55,Food,3,33.459221058139526,-112.07305906104652,7,8,-1,2012-04-03 21:55:00,2012-04-03 14:55:00
27538,136875,4c4cd8fee906c9288062053b,-420,33.378393,-112.099771,Drugstore / Pharmacy,Phoenix,US,21:57:49,2012403,2012/4/3 21:57,Shop & Service,3,33.459221058139526,-112.07305906104652,4,3,-1,2012-04-03 21:57:00,2012-04-03 14:57:00
467,168,4bb197f4f964a520249b3ce3,-420,33.522757,-112.09891299999998,Bank,Phoenix,US,21:59:33,2012403,2012/4/3 21:59,Shop & Service,4,33.52096371989529,-112.0698587486911,6,4,-1,2012-04-03 21:59:00,2012-04-03 14:59:00
468,168,4cbcddf0a33bb1f75f299cfd,-420,33.522220000000004,-112.095823,Food Court,Phoenix,US,22:05:29,2012403,2012/4/3 22:05,Food,4,33.52096371989529,-112.0698587486911,6,4,-1,2012-04-03 22:05:00,2012-04-03 15:05:00
32203,203880,4e8a490fdab4414a6b0172e1,-420,33.661436,-112.077445,Home (private),Phoenix,US,22:06:03,2012403,2012/4/3 22:06,Residence,8,33.64824537209302,-112.09229006976744,3,8,-1,2012-04-03 22:06:00,2012-04-03 15:06:00
32446,206521,4b6de390f964a52005992ce3,-420,33.610499,-112.12017,Fast Food Restaurant,Phoenix,US,22:13:00,2012403,2012/4/3 22:13,Food,2,33.5951913539823,-112.15487550884956,6,3,-1,2012-04-03 22:13:00,2012-04-03 15:13:00
17094,52510,4b110ff3f964a520d47723e3,-420,33.508708,-112.273333,Convenience Store,Phoenix,US,22:13:37,2012403,2012/4/3 22:13,Shop & Service,0,33.5040619112426,-112.25862841420118,3,0,-1,2012-04-03 22:13:00,2012-04-03 15:13:00
32204,203880,4b0ab6f9f964a520d12623e3,-420,33.673746,-112.077826,General College & University,Phoenix,US,22:15:25,2012403,2012/4/3 22:15,College & University,8,33.64824537209302,-112.09229006976744,3,8,-1,2012-04-03 22:15:00,2012-04-03 15:15:00
15068,44613,4d86fa3c61676dcb90e8aae4,-420,33.524370000000005,-112.024358,Convention Center,Phoenix,US,22:29:44,2012403,2012/4/3 22:29,Professional & Other Places,1,33.4931607434555,-112.00071044502614,3,1,-1,2012-04-03 22:29:00,2012-04-03 15:29:00
19494,65794,4bf6dca2508c0f4727003d31,-420,33.584206,-112.148983,Home (private),Phoenix,US,22:33:59,2012403,2012/4/3 22:33,Residence,2,33.5951913539823,-112.15487550884956,7,2,-1,2012-04-03 22:33:00,2012-04-03 15:33:00
469,168,4bf071333a15d13a71913e9f,-420,33.522777000000005,-112.09398799999998,Cosmetics Shop,Phoenix,US,22:40:24,2012403,2012/4/3 22:40,Shop & Service,4,33.52096371989529,-112.0698587486911,6,4,-1,2012-04-03 22:40:00,2012-04-03 15:40:00
17095,52510,4b155042f964a52039b023e3,-420,33.531879,-112.261133,Hockey Arena,Phoenix,US,22:49:42,2012403,2012/4/3 22:49,Arts & Entertainment,0,33.5040619112426,-112.25862841420118,3,0,-1,2012-04-03 22:49:00,2012-04-03 15:49:00
32205,203880,4f314b3ce4b010a3c0031649,-420,33.641563,-112.080027,Grocery Store,Phoenix,US,22:50:45,2012403,2012/4/3 22:50,Shop & Service,8,33.64824537209302,-112.09229006976744,3,8,-1,2012-04-03 22:50:00,2012-04-03 15:50:00
26849,130716,4f5ffa96e4b0f492ad03a355,-420,33.491809,-112.078933,Office,Phoenix,US,22:51:08,2012403,2012/4/3 22:51,Professional & Other Places,4,33.52096371989529,-112.0698587486911,6,2,4,2012-04-03 22:51:00,2012-04-03 15:51:00
27664,140077,4b911535f964a520e4a233e3,-420,33.656549,-112.04381,High School,Phoenix,US,22:52:30,2012403,2012/4/3 22:52,Professional & Other Places,8,33.64824537209302,-112.09229006976744,6,8,-1,2012-04-03 22:52:00,2012-04-03 15:52:00
470,168,4a84fdf5f964a520fcfd1fe3,-420,33.520897,-112.098139,Department Store,Phoenix,US,22:54:19,2012403,2012/4/3 22:54,Shop & Service,4,33.52096371989529,-112.0698587486911,6,4,-1,2012-04-03 22:54:00,2012-04-03 15:54:00
11825,26632,4b5df632f964a520367629e3,-420,33.52480300000001,-112.20416000000002,Grocery Store,Phoenix,US,22:54:13,2012403,2012/4/3 22:54,Shop & Service,0,33.5040619112426,-112.25862841420118,6,0,-1,2012-04-03 22:54:00,2012-04-03 15:54:00
13447,35443,4dc364a11f6ef43b89e2d8bd,-420,33.642392,-112.065522,Home (private),Phoenix,US,22:56:54,2012403,2012/4/3 22:56,Residence,8,33.64824537209302,-112.09229006976744,6,8,-1,2012-04-03 22:56:00,2012-04-03 15:56:00
14821,43232,4df0b3a8fa76042fed6f4b0b,-420,33.447552,-112.072593,Bar,Phoenix,US,23:06:22,2012403,2012/4/3 23:06,Nightlife Spot,3,33.459221058139526,-112.07305906104652,7,4,-1,2012-04-03 23:06:00,2012-04-03 16:06:00
471,168,4bfb637b8f32ef3b981605aa,-420,33.501412,-112.073821,Train Station,Phoenix,US,23:09:37,2012403,2012/4/3 23:09,Travel & Transport,4,33.52096371989529,-112.0698587486911,6,4,-1,2012-04-03 23:09:00,2012-04-03 16:09:00
15451,46745,4f745ed6e4b0e7e859a200be,-420,33.569093,-112.049194,Government Building,Phoenix,US,23:19:59,2012403,2012/4/3 23:19,Professional & Other Places,4,33.52096371989529,-112.0698587486911,7,4,-1,2012-04-03 23:19:00,2012-04-03 16:19:00
32206,203880,4f36fb6ce4b0948a81a13608,-420,33.661436,-112.077445,Home (private),Phoenix,US,23:26:30,2012403,2012/4/3 23:26,Residence,8,33.64824537209302,-112.09229006976744,3,8,-1,2012-04-03 23:26:00,2012-04-03 16:26:00
32207,203880,4e8a490fdab4414a6b0172e1,-420,33.661436,-112.077445,Home (private),Phoenix,US,23:26:42,2012403,2012/4/3 23:26,Residence,8,33.64824537209302,-112.09229006976744,3,8,-1,2012-04-03 23:26:00,2012-04-03 16:26:00
472,168,4c2e27dc260bc9289b341bd3,-420,33.501622999999995,-112.074397,Residential Building (Apartment / Condo),Phoenix,US,23:37:40,2012403,2012/4/3 23:37,Residence,4,33.52096371989529,-112.0698587486911,6,4,-1,2012-04-03 23:37:00,2012-04-03 16:37:00
15559,46785,4baa3545f964a52057533ae3,-420,33.457175,-112.065001,Gym / Fitness Center,Phoenix,US,23:41:58,2012403,2012/4/3 23:41,Outdoors & Recreation,3,33.459221058139526,-112.07305906104652,6,3,-1,2012-04-03 23:41:00,2012-04-03 16:41:00
4020,5303,4d1f5638e56f6ea8ad936c1d,-420,33.53992,-112.101291,Home (private),Phoenix,US,23:47:37,2012403,2012/4/3 23:47,Residence,4,33.52096371989529,-112.0698587486911,7,4,-1,2012-04-03 23:47:00,2012-04-03 16:47:00
13394,35193,4e5f99148877f0d84af5212e,-420,33.441875,-111.95458700000002,Parking,Phoenix,US,23:59:47,2012403,2012/4/3 23:59,Professional & Other Places,6,33.41852281040892,-111.98156154646841,5,6,-1,2012-04-03 23:59:00,2012-04-03 16:59:00
8756,18679,472eda7ef964a520094c1fe3,-420,33.445515,-112.066748,Baseball Stadium,Phoenix,US,0:01:35,2012404,2012/4/4 0:01,Arts & Entertainment,3,33.459221058139526,-112.07305906104652,4,5,-1,2012-04-04 00:01:00,2012-04-03 17:01:00
25804,118321,4f29b962e4b018893929a6fc,-420,33.494188,-112.003632,Cocktail Bar,Phoenix,US,0:16:28,2012404,2012/4/4 0:16,Nightlife Spot,1,33.4931607434555,-112.00071044502614,3,5,-1,2012-04-04 00:16:00,2012-04-03 17:16:00
21562,82387,4bba8cd0b35776b0d01bcb01,-420,33.639558,-112.011416,Gym / Fitness Center,Phoenix,US,0:25:29,2012404,2012/4/4 0:25,Outdoors & Recreation,5,33.60813345192308,-111.99399652884615,8,8,-1,2012-04-04 00:25:00,2012-04-03 17:25:00
16378,48796,4adcd7bdf964a520633021e3,-420,33.435559999999995,-112.040377,Bank,Phoenix,US,0:30:47,2012404,2012/4/4 0:30,Shop & Service,3,33.459221058139526,-112.07305906104652,8,3,7,2012-04-04 00:30:00,2012-04-03 17:30:00
7727,17128,4b5e1745f964a5201b7d29e3,-420,33.420481,-112.223196,Miscellaneous Shop,Phoenix,US,0:30:06,2012404,2012/4/4 0:30,Shop & Service,7,33.447427633663374,-112.1794503861386,9,3,5,2012-04-04 00:30:00,2012-04-03 17:30:00
7728,17128,4bb2d6724019a5938d5f37b8,-420,33.422546000000004,-112.225068,Taco Place,Phoenix,US,0:37:45,2012404,2012/4/4 0:37,Food,7,33.447427633663374,-112.1794503861386,9,3,5,2012-04-04 00:37:00,2012-04-03 17:37:00
9672,21804,4cbb9b5aadcd5481cb072aa2,-420,33.450431,-112.244983,Park,Phoenix,US,0:41:17,2012404,2012/4/4 0:41,Outdoors & Recreation,0,33.5040619112426,-112.25862841420118,6,0,-1,2012-04-04 00:41:00,2012-04-03 17:41:00
15944,47979,4f31c0a1e4b09c40b42e5492,-420,33.529272,-112.101291,Home (private),Phoenix,US,0:49:57,2012404,2012/4/4 0:49,Residence,4,33.52096371989529,-112.0698587486911,6,4,-1,2012-04-04 00:49:00,2012-04-03 17:49:00
31934,198360,4f678106e4b0ce431fe4259a,-420,33.665955,-112.203412,Mexican Restaurant,Phoenix,US,0:49:49,2012404,2012/4/4 0:49,Food,2,33.5951913539823,-112.15487550884956,1,2,-1,2012-04-04 00:49:00,2012-04-03 17:49:00
22971,91924,4f36aadde4b00d9f9592ecf7,-420,33.384525,-112.077445,Home (private),Phoenix,US,0:50:32,2012404,2012/4/4 0:50,Residence,3,33.459221058139526,-112.07305906104652,6,3,-1,2012-04-04 00:50:00,2012-04-03 17:50:00
31935,198360,4f678106e4b0ce431fe4259a,-420,33.665955,-112.203412,Mexican Restaurant,Phoenix,US,0:50:24,2012404,2012/4/4 0:50,Food,2,33.5951913539823,-112.15487550884956,1,2,-1,2012-04-04 00:50:00,2012-04-03 17:50:00
15375,46007,4c85a165d92ea0935af86772,-420,33.383958,-111.96138700000002,Mexican Restaurant,Phoenix,US,0:50:14,2012404,2012/4/4 0:50,Food,6,33.41852281040892,-111.98156154646841,1,6,-1,2012-04-04 00:50:00,2012-04-03 17:50:00
26240,122354,4e4fe7f1d4c0b6da5d8474c8,-420,33.625215000000004,-112.112495,Office,Phoenix,US,0:51:49,2012404,2012/4/4 0:51,Professional & Other Places,8,33.64824537209302,-112.09229006976744,1,8,-1,2012-04-04 00:51:00,2012-04-03 17:51:00
7729,17128,4e6bdf591f6e84ca4c23e5ee,-420,33.422653000000004,-112.220719,Bus Line,Phoenix,US,0:54:32,2012404,2012/4/4 0:54,Travel & Transport,7,33.447427633663374,-112.1794503861386,9,3,5,2012-04-04 00:54:00,2012-04-03 17:54:00
2165,1193,4ed58ced722eff15bf6ec897,-420,33.559477,-112.053599,Home (private),Phoenix,US,0:55:28,2012404,2012/4/4 0:55,Residence,4,33.52096371989529,-112.0698587486911,7,4,-1,2012-04-04 00:55:00,2012-04-03 17:55:00
2428,1816,4ae9cd0ff964a5208fb621e3,-420,33.486813,-112.073891,Light Rail,Phoenix,US,0:57:56,2012404,2012/4/4 0:57,Travel & Transport,3,33.459221058139526,-112.07305906104652,6,3,-1,2012-04-04 00:57:00,2012-04-03 17:57:00
17467,54867,4b96ef4cf964a520e8ee34e3,-420,33.507684000000005,-112.039867,Burger Joint,Phoenix,US,0:58:28,2012404,2012/4/4 0:58,Food,4,33.52096371989529,-112.0698587486911,7,4,-1,2012-04-04 00:58:00,2012-04-03 17:58:00
15376,46007,4c0c793fb1b676b0d437df86,-420,33.412511,-111.964223,Bank,Phoenix,US,0:59:24,2012404,2012/4/4 0:59,Shop & Service,6,33.41852281040892,-111.98156154646841,1,6,-1,2012-04-04 00:59:00,2012-04-03 17:59:00
32799,212277,4bf1afcad39ad13aa688aa0e,-420,33.592806,-111.980128,Gym / Fitness Center,Phoenix,US,1:05:48,2012404,2012/4/4 1:05,Outdoors & Recreation,5,33.60813345192308,-111.99399652884615,3,5,-1,2012-04-04 01:05:00,2012-04-03 18:05:00
8179,18320,4e686baa483bc776306af822,-420,33.652501,-112.125137,Home (private),Phoenix,US,1:05:50,2012404,2012/4/4 1:05,Residence,8,33.64824537209302,-112.09229006976744,5,4,8,2012-04-04 01:05:00,2012-04-03 18:05:00
2430,1816,4abdee78f964a520838b20e3,-420,33.488271999999995,-112.081581,Grocery Store,Phoenix,US,1:06:11,2012404,2012/4/4 1:06,Shop & Service,3,33.459221058139526,-112.07305906104652,6,3,-1,2012-04-04 01:06:00,2012-04-03 18:06:00
16292,48765,4bc904fc937ca593ee0fa592,-420,33.537217,-112.107861,High School,Phoenix,US,1:07:22,2012404,2012/4/4 1:07,Professional & Other Places,4,33.52096371989529,-112.0698587486911,5,4,-1,2012-04-04 01:07:00,2012-04-03 18:07:00
33423,224223,4e357d37fa7656ba31711cdd,-420,33.480940999999994,-112.005495,Professional & Other Places,Phoenix,US,1:16:45,2012404,2012/4/4 1:16,Professional & Other Places,1,33.4931607434555,-112.00071044502614,4,3,-1,2012-04-04 01:16:00,2012-04-03 18:16:00
2431,1816,4bd77f77304fce7206a433ab,-420,33.487017,-112.084934,Residential Building (Apartment / Condo),Phoenix,US,1:16:23,2012404,2012/4/4 1:16,Residence,3,33.459221058139526,-112.07305906104652,6,3,-1,2012-04-04 01:16:00,2012-04-03 18:16:00
22683,90938,4d3f5ed34677548175134ef4,-420,33.509062,-112.091816,Automotive Shop,Phoenix,US,1:16:39,2012404,2012/4/4 1:16,Shop & Service,4,33.52096371989529,-112.0698587486911,7,4,-1,2012-04-04 01:16:00,2012-04-03 18:16:00
27876,143402,4a7140a6f964a52031d91fe3,-420,33.577764,-112.18721,Library,Phoenix,US,1:17:53,2012404,2012/4/4 1:17,Professional & Other Places,2,33.5951913539823,-112.15487550884956,4,2,-1,2012-04-04 01:17:00,2012-04-03 18:17:00
17468,54867,4b153782f964a5206ca923e3,-420,33.508107,-112.040374,Electronics Store,Phoenix,US,1:24:39,2012404,2012/4/4 1:24,Shop & Service,4,33.52096371989529,-112.0698587486911,7,4,-1,2012-04-04 01:24:00,2012-04-03 18:24:00
2652,2899,449e9fb9f964a520c0341fe3,-420,33.435624,-112.003066,Airport,Phoenix,US,1:26:40,2012404,2012/4/4 1:26,Travel & Transport,6,33.41852281040892,-111.98156154646841,2,3,-1,2012-04-04 01:26:00,2012-04-03 18:26:00
22684,90938,4b833a52f964a5204ffe30e3,-420,33.506809999999994,-112.07452,Building,Phoenix,US,1:26:42,2012404,2012/4/4 1:26,Professional & Other Places,4,33.52096371989529,-112.0698587486911,7,4,-1,2012-04-04 01:26:00,2012-04-03 18:26:00
12595,31089,4d99fff2daec224b54636c3e,-420,33.517325,-111.993982,Home (private),Phoenix,US,1:31:17,2012404,2012/4/4 1:31,Residence,1,33.4931607434555,-112.00071044502614,4,1,-1,2012-04-04 01:31:00,2012-04-03 18:31:00
23175,92745,4aaebc5ff964a520146320e3,-420,33.465549,-112.081647,Mediterranean Restaurant,Phoenix,US,1:31:54,2012404,2012/4/4 1:31,Food,3,33.459221058139526,-112.07305906104652,5,3,-1,2012-04-04 01:31:00,2012-04-03 18:31:00
16743,50807,4db61e645da3a76f446076d3,-420,33.461819,-112.005905,Home (private),Phoenix,US,1:32:03,2012404,2012/4/4 1:32,Residence,1,33.4931607434555,-112.00071044502614,8,1,-1,2012-04-04 01:32:00,2012-04-03 18:32:00
